"Date","[10,000,000 - infinity) coins","[1,000,000 - 10,000,000) coins","[100,000  - 1,000,000) coins","[10,000 - 100,000) coins","[1,000 - 10,000) coins","[100 - 1,000) coins","[10 - 100) coins","[1 - 10) coins","[0.1 - 1) coins","[0.01 - 0.1) coins","[0.001 - 0.01) coins","[0 - 0.001) coins"
"2018-06-21T00:00:00.000Z","9","32","367.85714285714283","2521.285714285714","7164.857142857143","7958.857142857143","1979.2857142857142","520.2857142857143","471.14285714285717","157.42857142857142","117","841.8571428571429"
"2018-06-28T00:00:00.000Z","9","30.857142857142858","371","2527.8571428571427","7154.714285714285","7972","1984.2857142857142","522","472.14285714285717","158","117","841.5714285714286"
"2018-07-05T00:00:00.000Z","9","31.714285714285715","370.7142857142857","2533.714285714286","7173.142857142857","8004.714285714285","1987","523.5714285714286","472.14285714285717","158","117.71428571428571","845.8571428571429"
"2018-07-12T00:00:00.000Z","9","30.857142857142858","372.2857142857143","2543.5714285714284","7178","8016.285714285715","1992.5714285714287","525.5714285714286","471.85714285714283","158.85714285714286","118.28571428571429","852.7142857142857"
"2018-07-19T00:00:00.000Z","9","29.571428571428573","369","2552","7153.285714285715","8034.571428571428","1997","525.7142857142857","473","160.85714285714286","118.14285714285714","859.7142857142857"
"2018-07-26T00:00:00.000Z","9","30.428571428571427","361.2857142857143","2555.1428571428573","7137.285714285715","8066","2005.857142857143","528.5714285714286","479.2857142857143","161.14285714285714","120.71428571428571","864.5714285714286"
"2018-08-02T00:00:00.000Z","9","30.714285714285715","357","2542.285714285714","7131","8093","2017.4285714285713","533.4285714285714","486","162.28571428571428","121","868.4285714285714"
"2018-08-09T00:00:00.000Z","9","32","361.57142857142856","2514.285714285714","7104.857142857143","8127.285714285715","2027.857142857143","535.5714285714286","493.57142857142856","162.71428571428572","121.42857142857143","870.4285714285714"
"2018-08-16T00:00:00.000Z","9","31","362.7142857142857","2507.285714285714","7103.571428571428","8165.142857142857","2041.4285714285713","538.1428571428571","493.85714285714283","164","121.71428571428571","875.5714285714286"
"2018-08-23T00:00:00.000Z","9","31","360.2857142857143","2519.1428571428573","7133.714285714285","8201.42857142857","2056.1428571428573","544","494.85714285714283","165.14285714285714","123","880.4285714285714"
"2018-08-30T00:00:00.000Z","9","31","356.2857142857143","2528.5714285714284","7131","8226.285714285714","2066.1428571428573","552.2857142857143","498.42857142857144","167","123","890.7142857142857"
"2018-09-06T00:00:00.000Z","9","30.285714285714285","353","2527.285714285714","7108.714285714285","8246.857142857143","2066.8571428571427","560.1428571428571","503.14285714285717","168.71428571428572","123.57142857142857","900.8571428571429"
