timestamp,aave_earn_apr,aave_borrow_apr,aave_link_col_ratio,aave_link_outst_debt,aave_link_supp_vol
2020-06-04,0.006,0.2435,5.5626,151932.9948,6240341.8479
2020-06-05,0.0061,0.2445,5.495,152852.9948,6251630.7079
2020-06-06,0.006,0.2433,5.5636,152849.4181,6281390.9526
2020-06-07,0.0059,0.2422,5.6086,152633.3138,6302022.6675
2020-06-08,0.0058,0.2412,5.7465,152541.5223,6323993.0103
2020-06-09,0.0057,0.2392,5.7217,151975.0198,6353393.1198
2020-06-10,0.0058,0.2413,6.1334,152252.0675,6309335.9833
2020-06-11,0.0059,0.2436,6.4613,153612.0949,6307048.1199
2020-06-12,0.0049,0.2209,6.0149,138376.5242,6262970.3548
2020-06-13,0.0049,0.2215,6.1652,138815.9004,6268159.3005
2020-06-14,0.0046,0.2148,6.062,135320.6424,6298890.1599
2020-06-15,0.0046,0.2139,5.8926,135320.6424,6327050.5433
2020-06-16,0.0074,0.3399,5.8127,140237.9956,6418574.0839
2020-06-17,0.0071,0.3319,5.9433,139324.8696,6530154.7387
2020-06-18,0.0068,0.3261,5.8231,136009.2623,6487051.9819
2020-06-19,0.0064,0.315,6.2620000000000005,131716.7715,6504811.185
2020-06-20,0.0058,0.2992,5.9589,129063.7129,6709810.6413
2020-06-21,0.0054,0.2896,5.7731,129090.1078,6932887.3937
2020-06-22,0.0051,0.2822,5.907,128710.0581,7095951.9507
2020-06-23,0.0041,0.2517,5.9651,117154.4597,7241157.3806
2020-06-24,0.0045,0.2643,7.0345,123417.0703,7264462.1642
2020-06-25,0.0042,0.2565,6.7769,120040.3935,7278534.2
2020-06-26,0.0044,0.2608,6.3805,121746.9731,7263030.0606
2020-06-27,0.0043,0.2574,6.2959,122393.609,7395229.238
2020-06-28,0.0042,0.2545,6.3475,122601.7251,7494326.3281
2020-06-29,0.0041,0.2523,6.5314,122652.1007,7561783.9319
2020-06-30,0.0043,0.2572,6.5316,125728.0798,7603092.4694
2020-07-01,0.0041,0.251,6.5089,123003.7811,7622203.4462
2020-07-02,0.0041,0.2511,6.7023,123003.4812,7621096.7783
2020-07-03,0.0039,0.247,6.5091,123003.4812,7746713.3871
2020-07-04,0.0032,0.2232,6.6065,111662.6098,7781548.9406
2020-07-05,0.0032,0.2242,6.3276,111911.5102,7763314.911
2020-07-06,0.0031,0.2198,6.115,111940.7675,7922555.4142
2020-07-07,0.0006,0.0951,6.8528,48884.2379,7992649.4737
2020-07-08,0.0007,0.1036,6.8527,52241.7914,7845800.8673
2020-07-09,0.0006,0.0943,6.7741,47200.5232,7788227.7305
2020-07-10,0.0005,0.0874,6.6002,43855.4664,7806032.2987
2020-07-11,0.0005,0.086,6.7447,43819.9912,7927480.177999999
2020-07-12,0.0006,0.0857,7.1891,43893.5669,7963827.2681
2020-07-13,0.0006,0.09,7.4183,46287.6379,8000504.5873
2020-07-14,0.0005,0.0606,7.057,31296.8177,8034725.1367
2020-07-15,0.0351,0.7366,7.16,381982.0745,8066400.2291
2020-07-16,0.0347,0.7344,7.3071,381795.5007,8086838.6947
2020-07-17,0.0348,0.7353,7.556,382252.5324,8086408.1647
2020-07-18,0.0333,0.7196,7.5357,382159.5745,8261367.8211
2020-07-19,0.032,0.7046,7.0479,383168.63700000005,8459603.8029
2020-07-20,0.0306,0.6892,8.6347,379279.1693,8560965.7835
2020-07-21,0.2308,1.8948,8.7294,1080838.5821,8873195.8411
2020-07-22,0.4179,2.5495,7.7953,1478568.3645,9021216.621
2020-07-23,0.3683,2.3934,7.707999999999999,1480538.2905,9622723.9901
2020-07-24,0.3585,2.3615,7.2611,1479780.4993,9747424.5344
2020-07-25,0.3495,2.3315,6.8579,1476142.7229,9848802.0802
2020-07-26,1.5076,4.8428,6.7223,3036345.5373,9753081.5141
2020-07-27,1.518,4.8593,6.1465,3130598.5265,10021574.3252
2020-07-28,1.5161,4.8564,5.5275,3128486.6736,10020846.9646
2020-07-29,1.4674,4.7777,5.6094,3128435.6835,10185786.9368
2020-07-30,1.4164,4.6939,5.906000000000001,3127675.1799,10364985.8826
2020-07-31,1.3951,4.6586,5.8884,3127572.8867,10443333.8189
2020-08-01,1.2992,4.4956,6.0292,3123902.6047,10809344.5722
2020-08-02,1.2666,4.4389,5.9808,3123789.6866,10947023.6785
2020-08-03,1.2819,4.4654,6.2995,3124070.4265,10882818.9088
2020-08-04,1.3030000000000002,4.482,5.6436,3153932.5617,10946292.7854
2020-08-05,1.2569,4.4013,5.4384,3155768.4115,11153437.6397
2020-08-06,1.2546,4.3962,5.4465,3161801.123,11187748.8225
2020-08-07,1.244,4.3714,5.5939,3182079.8766,11323297.5959
2020-08-08,2.2759,5.5869,5.1329,4069828.2641,11331530.4483
2020-08-09,0.9772,3.4023,6.2234,2462067.4457,11256823.1102
2020-08-10,0.5462,2.4869,6.6464,1764601.8336,11037686.4684
2020-08-11,0.419,2.2957,6.4609,1620798.3998,10982560.7114
2020-08-12,0.47,2.4467,5.7031,1736077.9576,11037562.8423
2020-08-13,1.0586,3.6632,5.165,2534071.5355,10760668.4579
2020-08-14,0.0373,0.7226,6.8267,514006.0069,11064949.6509
2020-08-15,0.0261,0.6351,8.3929,471945.905,11560251.1662
2020-08-16,0.0239,0.6084,8.6563,448050.1396,11455664.9893
2020-08-17,0.0239,0.6076,9.6829,448272.1425,11475764.1215
